Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1,排除AST标准化前,排除AST标准化后,排除CM标准化前,排除CM标准化后,排除weight标准化前,排除weight标准化后,排除pdg标准化前,排除pdg标准化后
33ed181ea4070b58e793680abb3273ec50b17b7c,1,0.639474526,77.29109387,8.97267081,,,39.048,21.454,12.424,3.442,,18,0,1,,,,,,,,
31c4731cf20ce3f69e84600b360aaa54ccabfd8d,2,20.84970526,2091.152884,44.00060734,,,39.857,20.319,14.36,3.614,,19,0,1,,,,,,,,
a53001c55cd3ff914e45223db51c689743ba247c,1,0.323,192.4905679,34.20799583,,,41.489,20.376,15.74,3.823,,12,0.02,0,,,,,,,,
722d2df2057bb1e362a4458efb914aa590c02c60,1,0.01,0,0,,,34.22,18.743,10.889,3.101,,3,0,0,,,,,,,,
98651c3c37628f646ec20d6bc4165f5f20adb85a,1,0.577210446,117.5951749,9.197463177,,,35.691,18.202,12.4,3.362,,6,0.57,0,,,,,,,,
b9b4a41048ca4fc4e99ee1ec743c2992eb815733,1,0.303,0,0,,,46.708,18.397,21.752,4.654,,3,0,1,,,,,,,,
f7d9c45c35e51fb8277bd7bf92665cf3fac59474,1,0.707,0,0,,,46.535,18.12,21.708,4.723,,5,0,1,,,,,,,,
658775e8537313f131b53f847f8d648021981a6c,5,39.70738239,905.1842188,37.70741664,,,34.152,18.266,11.272,3.163,,43,0,1,,,,,,,,
1adb6c6720af30d2c1f4e5e72dad461ff3815f25,5,39.70738239,905.1842188,37.70741664,,,34.132,18.171,11.344,3.192,,43,0,1,,,,,,,,
f5c10931d6a270252b920557350684694fed917b,6,49.89612948,1424.409219,81.91029709,,,76.435,18.243,44.265,11.021,,160,0,1,,,,,,,,
71abec4e3976bb1d8f8a588bf83f2765c7ec1ce0,8,229.9675455,4207.122484,119.4765262,,,49.58,18.102,23.117,6.531,,192,0,1,,,,,,,,
2442560236f297058f5e4917627b984e19db4537,2,0.01,0,25.10781661,,,34.396,18.292,11.389,3.256,,0,0,1,,,,,,,,
0a0a9cf4ae4f4ce5866e04bc77af3a927472a3b7,5,44.44078567,1090.914079,35.10578773,,,34.961,18.0,11.853,3.703,,50,0,1,,,,,,,,
10a393488fac3bea0179b1a0dea61e6a85ad07c3,7,133.320872,2310.453188,82.19860162,,,34.664,18.162,11.788,3.248,,102,0,1,,,,,,,,
3e69b2c160eb8160baec3fceef195717da00ee41,1,10.04252145,0,0,,,63.462,18.081,34.638,8.132,,60,0,1,,,,,,,,
