Commit Hash,Human tagged data,DEffort score,我的分数,我的分数2,标准化后的分数,,标准化前,标准化后,,,总时间/s,调用图时间/s,DDG/s,CDG/s,Changed LoC,ELOC,ERROR for 1
dc6fb0b2a86b5ee914de1932842852c7a63d8872,3,8.494956062,,,,,3280.051312,12.98674136,,,173.944,152.982,15.215,3.644,4,0.2,0
98c031a740c95edf14d341fb6edcd00d5c9254ff,2,17.89106547,,,,,215.6057705,11.12915141,,,188.269,164.865,17.422,3.959,2,0,1
d342dadc4cbff4156bd1deff03a2e54008ee7008,10,1703.277974,,,,,0,49.17650808,,,214.615,155.679,42.291,11.082,59,0,1
cd2d5ff1a6b6c19a658f34ace4853328eaf0c500,6,183.0620073,,,,,82295.52743,51.650123,,,174.179,154.735,14.046,3.51,12,16.27766667,0
aa5385637df25ca9dab0051ea57a00b38649d34a,2,55.84270724,,,,,485.2428565,11.9796334,,,172.351,155.421,11.993,3.237,2,6.1,0
016ddf6dd881850d86ca33b614fc431c4d55bda8,3,8.504138582,,,,,8533.144991,18.51241623,,,174.131,154.981,13.821,3.428,3,0,1
37ed66bcaa3b0c88c5f3f0b09e6b4029c72c14cd,1,318.3569079,,,,,0,0,,,175.588,151.594,17.94,4.212,4,0,1
af60554efbd7a0e36f3b646ee94162359655554f,2,3.657694029,,,,,569.0425363,9.998096173,,,180.322,155.984,18.132,4.269,6,2.22,0
ab13b03d2168be6879cc56b9f1aa12605b140492,7,77.69060363,,,,,1865.659336,36.55771736,,,187.178,151.487,26.845,6.816,20,0,1
13f3f2b674904d53c12f28d13a80c2302377c57a,6,120.4311674,,,,,74214.31299,63.36535031,,,201.333,151.761,37.948,8.518,14,38,0
1f1371e655437855c0d7806b4ce8f304ad772db1,5,7.139898373,,,,,3343.736243,55.72876436,,,203.413,152.688,38.317,9.647,12,0.08,0
e2ce6bb9233c2a050671962121e94a6a46a15bd5,4,34.76559481,,,,,34325.20063,43.25139997,,,200.445,153.707,35.205,8.121,28,2.5,1
8b365c0000e3f56067ec9c6de0d6151de269f6e0,5,26.58332544,,,,,195.598596,13.63377053,,,190.519,156.001,26.211,5.814,7,8.13,0
133cca0ecaca8de82e47490826aadda38e541929,7,336.0065641,,,,,38951.96154,76.85440159,,,173.014,155.378,12.488,3.287,15,0,1
9baa2d5dac6da26f895db316ef4a2425922642c4,10,66.25129678,,,,,30229.86482,45.60795152,,,205.058,155.208,38.287,8.658,41,8.5,1
8124e5e8b9c077de6a3dc38b8d7f42b43f692b2b,8,21.67150577,,,,,6378.809668,27.19868812,,,203.694,155.378,37.178,8.412,13,46,0
0ed7edfd25d4c81f86eca0375e457669b6cba1bb,7,495.4198086,,,,,1060.529879,23.174033,,,198.362,154.943,33.365,7.694,23,0,1
