Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
097b0283a8c3c08f90f1f7e0f13489e4c8652fc6,2,14.70748983,0,19.97458599,,,2.954,1.952,0.0,0.001,,28,14.452,0
0433b1e0cb93f82f26561a3c98d9c5cd0a93919f,3,24.13323097,0,19.97458599,,,2.964,1.965,0.0,0.0,,160,31,1
e1f50b99d059d0571cb4e200a40877434d535e6a,3,64.61953506,0,19.17775842,,,22.532,1.905,13.89,3.598,,21,0,1
ea0d256d50eb3be306f90ece61f40cb2df85341b,4,741.0857397,0,30.60653986,,,21.952,1.917,13.662,3.617,,28,0,1
af1880079c500cc32bbd5ed6d2923c263563047f,4,371.3041235,0,28.71525204,,,21.248,2.052,13.486,3.413,,30,0,1
d1d0cb407eea63d73a22c21b5add9eee34602539,6,365.7991272,2789.544481,87.86447217,,,54.584,1.886,38.611,10.798,,127,3.594,1
d365f0b08d6e01664b3164bf9e48bdb0aba87dd0,3,139.6325271,0,12.08823925,,,49.216,1.827,35.128,9.956,,186,0.09,1
2a3a88238a95397331e35fb98670240575a4bea9,7,926.0732227,0,83.95364482,,,100.337,1.979,73.633,20.147,,286,1,1
7cc0bd923a60bbb21aaabcae8e96da04d516f577,7,307.466823,1677.68847,71.88235177,,,61.882,1.84,44.875,12.936,,149,8,1
195387875df82a1f628c0e2eda8d737a7518bf1f,2,42.95177015,0,17.65582859,,,21.802,1.598,14.312,3.677,,5,7.5,0
e0b91288f4202f5b223b6f9251b4abe9f7889497,3,20.67996421,0,26.82076497,,,22.13,1.755,14.39,3.687,,22,0,1
9923a5a39a03d70dcefb2b76cdfbef5b294dfabf,3,7.053956464,0,8.619559466,,,65.61,1.72,47.259,13.159,,81,0.09,1
a0b4bc2ce5c9ef25ac59fe177ffdc1a9ef216b29,6,486.8347758,714.6606146,106.0974554,,,76.983,1.715,56.724,16.035,,367,9,1
75c923080dc16ace9866389a906188ae71b522c4,2,0.051,0,18.24417275,,,31.842,1.544,22.358,6.348,,37,0,1
f0c5441e4240478fea6500c0ef2dc95b86fe9ec5,4,39.75290138,0,9.122086377,,,63.825,1.556,46.532,12.764,,234,0.6,1
22442eca298929215de04ca51f7db51369566adb,4,5.98616397,0,8.623570416,,,44.676,1.429,31.835,9.224,,958,17,1
